fsa,province,city,urban_rural,region_band,shipping_zone_code,active,notes
G6W,QC,Saint-romuald,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=28
G6X,QC,Charny,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=17
G6Z,QC,Saint-jean-chrysostome,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=21
G7A,QC,Saint-nicolas,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=21
G7B,QC,La Baie,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=44
G7G,QC,Chicoutimi,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=14
G7H,QC,Chicoutimi,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=115
G7J,QC,Chicoutimi,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=17
G7P,QC,Saint-ambroise,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=19
G7S,QC,Jonquiere,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=41
G7X,QC,Jonquiere,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=66
G7Z,QC,Jonquiere,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=1
G8A,QC,Jonquiere,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=7
G8B,QC,Alma,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=96
G8H,QC,Roberval,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=20
G8J,QC,Saint-prime,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=38
G8K,QC,Saint-felicien,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=18
G8L,QC,Dolbeau-mistassini,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=15
G8M,QC,Albanel,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=49
G8N,QC,Hebertville,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=26
G8P,QC,Chibougamau,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=23
G8T,QC,Trois-rivieres,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=7
G8W,QC,Trois-rivieres,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=10
G8Y,QC,Trois-rivieres,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=44
G8Z,QC,Trois-rivieres,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=57
G9A,QC,Trois-rivieres,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=118
G9B,QC,Trois-rivieres,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=19
G9N,QC,Shawinigan,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=59
G9P,QC,Shawinigan-sud,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=6
